Postleitzahl / Code Postal / Codice Postale,Ort / Ville / Città,Kanton,Abkürzung / Abréviation / Abbreviazione,Land,,,,,,,,,,
1096,Villette (Lavaux),Waadt,VD,Schweiz,,,,,,,,,,
1096,Cully,Waadt,VD,Schweiz,,,,,,,,,,
1097,Riex,Waadt,VD,Schweiz,,,,,,,,,,
1098,Epesses,Waadt,VD,Schweiz,,,,,,,,,,
1110,Morges,Waadt,VD,Schweiz,,,,,,,,,,
1112,Echichens,Waadt,VD,Schweiz,,,,,,,,,,
1113,St-Saphorin-sur-Morges,Waadt,VD,Schweiz,,,,,,,,,,
1114,Colombier VD,Waadt,VD,Schweiz,,,,,,,,,,
1115,Vullierens,Waadt,VD,Schweiz,,,,,,,,,,
1116,Cottens VD,Waadt,VD,Schweiz,,,,,,,,,,
1117,Grancy,Waadt,VD,Schweiz,,,,,,,,,,
1121,Bremblens,Waadt,VD,Schweiz,,,,,,,,,,
1122,Romanel-sur-Morges,Waadt,VD,Schweiz,,,,,,,,,,
1123,Aclens,Waadt,VD,Schweiz,,,,,,,,,,
1124,Gollion,Waadt,VD,Schweiz,,,,,,,,,,
1125,Monnaz,Waadt,VD,Schweiz,,,,,,,,,,
1126,Vaux-sur-Morges,Waadt,VD,Schweiz,,,,,,,,,,
1127,Clarmont,Waadt,VD,Schweiz,,,,,,,,,,
1128,Reverolle,Waadt,VD,Schweiz,,,,,,,,,,
1131,Tolochenaz,Waadt,VD,Schweiz,,,,,,,,,,
1132,Lully VD,Waadt,VD,Schweiz,,,,,,,,,,
1134,Vufflens-le-Château,Waadt,VD,Schweiz,,,,,,,,,,
1134,Chigny,Waadt,VD,Schweiz,,,,,,,,,,
1135,Denens,Waadt,VD,Schweiz,,,,,,,,,,
1136,Bussy-Chardonney,Waadt,VD,Schweiz,,,,,,,,,,
1141,Sévery,Waadt,VD,Schweiz,,,,,,,,,,
1142,Pampigny,Waadt,VD,Schweiz,,,,,,,,,,
1143,Apples,Waadt,VD,Schweiz,,,,,,,,,,
1144,Ballens,Waadt,VD,Schweiz,,,,,,,,,,
1145,Bière,Waadt,VD,Schweiz,,,,,,,,,,
1146,Mollens VD,Waadt,VD,Schweiz,,,,,,,,,,
1147,Montricher,Waadt,VD,Schweiz,,,,,,,,,,
1148,Cuarnens,Waadt,VD,Schweiz,,,,,,,,,,
1148,Moiry VD,Waadt,VD,Schweiz,,,,,,,,,,
1148,La Praz,Waadt,VD,Schweiz,,,,,,,,,,
1148,Mont-la-Ville,Waadt,VD,Schweiz,,,,,,,,,,
1148,Chavannes-le-Veyron,Waadt,VD,Schweiz,,,,,,,,,,
1148,Mauraz,Waadt,VD,Schweiz,,,,,,,,,,
1148,Villars-Bozon,Waadt,VD,Schweiz,,,,,,,,,,
1148,La Coudre,Waadt,VD,Schweiz,,,,,,,,,,
1148,L'Isle,Waadt,VD,Schweiz,,,,,,,,,,
1149,Berolle,Waadt,VD,Schweiz,,,,,,,,,,
1162,St-Prex,Waadt,VD,Schweiz,,,,,,,,,,
1163,Etoy,Waadt,VD,Schweiz,,,,,,,,,,
1164,Buchillon,Waadt,VD,Schweiz,,,,,,,,,,
1165,Allaman,Waadt,VD,Schweiz,,,,,,,,,,
1166,Perroy,Waadt,VD,Schweiz,,,,,,,,,,
1167,Lussy-sur-Morges,Waadt,VD,Schweiz,,,,,,,,,,
1168,Villars-sous-Yens,Waadt,VD,Schweiz,,,,,,,,,,
1169,Yens,Waadt,VD,Schweiz,,,,,,,,,,
1170,Aubonne,Waadt,VD,Schweiz,,,,,,,,,,
1172,Bougy-Villars,Waadt,VD,Schweiz,,,,,,,,,,
1173,Féchy,Waadt,VD,Schweiz,,,,,,,,,,
